ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ACETOPHENAZINE MALEATE,1,False,False,False,0,0,0,,,,,,,,,,,ACETOPHENAZINE MALEATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETRIZOATE SODIUM,1,False,False,False,0,0,0,,,,,,,,,,,ACETRIZOATE SODIUM,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETYLCHOLINE CHLORIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACETYLCHOLINE CHLORIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETYLCYSTEINE,1,False,False,False,0,0,0,,,,,,,,,,,ACETYLCYSTEINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETYLCYSTEINE LYSINE,1,False,False,False,0,0,0,,,,,,,,,,,ACETYLCYSTEINE LYSINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACETYLDIGITOXIN,1,False,False,False,0,0,0,,,,,,,,,,,ACETYLDIGITOXIN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACITRETIN,1,False,False,False,0,0,0,,,,,,,,,,,ACITRETIN,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACLIDINIUM BROMIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACLIDINIUM BROMIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACLIDINIUM BROMIDE; FORMOTEROL FUMARATE,2,False,False,False,0,0,0,,,,,,,,,,,ACLIDINIUM BROMIDE | FORMOTEROL FUMARATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACOLTREMON,1,False,False,False,0,0,0,,,,,,,,,,,ACOLTREMON,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
