active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
NIFEDIPINE,NIFEDIPINE,,,
NIFURTIMOX,NIFURTIMOX,,,
NILOTINIB,NILOTINIB,,,
NILOTINIB D-TARTRATE,NILOTINIB D TARTRATE,,,
NILOTINIB HYDROCHLORIDE,NILOTINIB HYDROCHLORIDE,,,
NILOTINIB HYDROCHLORIDE DIHYDRATE,NILOTINIB HYDROCHLORIDE DIHYDRATE,,,
NILOTINIB TARTRATE,NILOTINIB TARTRATE,,,
NILUTAMIDE,NILUTAMIDE,,,
NIMODIPINE,NIMODIPINE,,,
NINTEDANIB,NINTEDANIB,,,
NINTEDANIB ESYLATE,NINTEDANIB ESYLATE,,,
NIPOCALIMAB-AAHU,NIPOCALIMAB AAHU,,,
NIRAPARIB TOSYLATE,NIRAPARIB TOSYLATE,,,
NIRMATRELVIR,NIRMATRELVIR,,,
NIROGACESTAT HYDROBROMIDE,NIROGACESTAT HYDROBROMIDE,,,
NIRSEVIMAB-ALIP,NIRSEVIMAB ALIP,,,
NISOLDIPINE,NISOLDIPINE,,,
NITAZOXANIDE,NITAZOXANIDE,,,
NITISINONE,NITISINONE,,,
NITRIC OXIDE,NITRIC OXIDE,,,
NITROFURANTOIN,NITROFURANTOIN,,,
NITROFURANTOIN SODIUM,NITROFURANTOIN SODIUM,,,
"NITROFURANTOIN, MACROCRYSTALLINE",NITROFURANTOIN MACROCRYSTALLINE,,,
NITROFURAZONE,NITROFURAZONE,,,
NITROGEN,NITROGEN,,,
"NITROGEN, NF",NITROGEN NF,,,
NITROGLYCERIN,NITROGLYCERIN,,,
NITROUS OXIDE,NITROUS OXIDE,,,
NIVOLUMAB,NIVOLUMAB,,,
NIZATIDINE,NIZATIDINE,,,
NONOXYNOL-9,NONOXYNOL 9,,,
NORELGESTROMIN,NORELGESTROMIN,,,
NOREPINEPHRINE BITARTRATE,NOREPINEPHRINE BITARTRATE,,,
NORETHINDRONE,NORETHINDRONE,,,
NORETHINDRONE ACETATE,NORETHINDRONE ACETATE,,,
NORETHYNODREL,NORETHYNODREL,,,
NORFLOXACIN,NORFLOXACIN,,,
NORGESTIMATE,NORGESTIMATE,,,
NORGESTREL,NORGESTREL,,,
NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,,,
NOVOBIOCIN SODIUM,NOVOBIOCIN SODIUM,,,
NUSINERSEN SODIUM,NUSINERSEN SODIUM,,,
NYSTATIN,NYSTATIN,,,
Nevirapine,NEVIRAPINE,,,
Nitrogen,NITROGEN,,,
OBETICHOLIC ACID,OBETICHOLIC ACID,,,
OBILTOXAXIMAB,OBILTOXAXIMAB,,,
OBINUTUZUMAB,OBINUTUZUMAB,,,
OCRELIZUMAB,OCRELIZUMAB,,,
OCRELIZUMAB AND HYALURONIDASE-OCSQ,OCRELIZUMAB AND HYALURONIDASE OCSQ,,,
OCRIPLASMIN,OCRIPLASMIN,,,
OCTINOXATE,OCTINOXATE,,,
OCTOCRYLENE,OCTOCRYLENE,,,
OCTREOTIDE ACETATE,OCTREOTIDE ACETATE,,,
ODESIVIMAB,ODESIVIMAB,,,
ODEVIXIBAT,ODEVIXIBAT,,,
OFATUMUMAB,OFATUMUMAB,,,
OFLOXACIN,OFLOXACIN,,,
OLANZAPINE,OLANZAPINE,,,
OLANZAPINE PAMOATE,OLANZAPINE PAMOATE,,,
OLAPARIB,OLAPARIB,,,
OLARATUMAB,OLARATUMAB,,,
OLEZARSEN SODIUM,OLEZARSEN SODIUM,,,
OLICERIDINE,OLICERIDINE,,,
OLIPUDASE ALFA-RPCP,OLIPUDASE ALFA RPCP,,,
OLIVE OIL,OLIVE OIL,,,
OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,,,
OLODATEROL HYDROCHLORIDE,OLODATEROL HYDROCHLORIDE,,,
OLOPATADINE HYDROCHLORIDE,OLOPATADINE HYDROCHLORIDE,,,
OLSALAZINE SODIUM,OLSALAZINE SODIUM,,,
OLUTASIDENIB,OLUTASIDENIB,,,
OMACETAXINE MEPESUCCINATE,OMACETAXINE MEPESUCCINATE,,,
OMADACYCLINE TOSYLATE,OMADACYCLINE TOSYLATE,,,
OMALIZUMAB,OMALIZUMAB,,,
OMALIZUMAB-IGEC,OMALIZUMAB IGEC,,,
OMAVELOXOLONE,OMAVELOXOLONE,,,
OMBITASVIR,OMBITASVIR,,,
"OMBITASVIR, PARITAPREVIR, RITONAVIR",OMBITASVIR PARITAPREVIR RITONAVIR,,,
OMEGA-3-ACID ETHYL ESTERS,OMEGA 3 ACID ETHYL ESTERS,,,
OMEGA-3-ACID ETHYL ESTERS TYPE A,OMEGA 3 ACID ETHYL ESTERS TYPE A,,,
OMEGA-3-CARBOXYLIC ACIDS,OMEGA 3 CARBOXYLIC ACIDS,,,
OMEGA-3ACID ETHYL ESTERS,OMEGA 3ACID ETHYL ESTERS,,,
OMEPRAZOLE,OMEPRAZOLE,,,
OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM,,,
OMIDENEPAG ISOPROPYL,OMIDENEPAG ISOPROPYL,,,
ONDANSETRON,ONDANSETRON,,,
ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,,,
OPICAPONE,OPICAPONE,,,
ORITAVANCIN DIPHOSPHATE,ORITAVANCIN DIPHOSPHATE,,,
ORLISTAT,ORLISTAT,,,
ORPHENADRINE CITRATE,ORPHENADRINE CITRATE,,,
ORPHENADRINE HYDROCHLORIDE,ORPHENADRINE HYDROCHLORIDE,,,
OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE,,,
OSILODROSTAT PHOSPHATE,OSILODROSTAT PHOSPHATE,,,
OSIMERTINIB MESYLATE,OSIMERTINIB MESYLATE,,,
OSPEMIFENE,OSPEMIFENE,,,
OTESECONAZOLE,OTESECONAZOLE,,,
OXACILLIN SODIUM,OXACILLIN SODIUM,,,
OXALIPLATIN,OXALIPLATIN,,,
OXAMNIQUINE,OXAMNIQUINE,,,
OXANDROLONE,OXANDROLONE,,,
OXAPROZIN,OXAPROZIN,,,
OXAPROZIN POTASSIUM,OXAPROZIN POTASSIUM,,,
OXAZEPAM,OXAZEPAM,,,
OXCARBAZEPINE,OXCARBAZEPINE,,,
OXICONAZOLE NITRATE,OXICONAZOLE NITRATE,,,
OXIGLUTATIONE,OXIGLUTATIONE,,,
OXTRIPHYLLINE,OXTRIPHYLLINE,,,
OXYBENZONE,OXYBENZONE,,,
OXYBUTYNIN,OXYBUTYNIN,,,
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,,,
OXYCODONE,OXYCODONE,,,
OXYCODONE HYDROCHLORIDE,OXYCODONE HYDROCHLORIDE,,,
OXYCODONE TEREPHTHALATE,OXYCODONE TEREPHTHALATE,,,
OXYGEN,OXYGEN,,,
OXYMETAZOLINE,OXYMETAZOLINE,,,
OXYMETAZOLINE HYDROCHLORIDE,OXYMETAZOLINE HYDROCHLORIDE,,,
OXYMETHOLONE,OXYMETHOLONE,,,
OXYMORPHONE HYDROCHLORIDE,OXYMORPHONE HYDROCHLORIDE,,,
OXYPHENBUTAZONE,OXYPHENBUTAZONE,,,
OXYTETRACYCLINE,OXYTETRACYCLINE,,,
OXYTETRACYCLINE HYDROCHLORIDE,OXYTETRACYCLINE HYDROCHLORIDE,,,
OXYTOCIN,OXYTOCIN,,,
OZANIMOD,OZANIMOD,,,
OZANIMOD HYDROCHLORIDE,OZANIMOD HYDROCHLORIDE,,,
OZENOXACIN,OZENOXACIN,,,
OnabotulinumtoxinA,ONABOTULINUMTOXINA,,,
Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,,,
PACLITAXEL,PACLITAXEL,,,
PACRITINIB CITRATE,PACRITINIB CITRATE,,,
PAFOLACIANINE SODIUM,PAFOLACIANINE SODIUM,,,
PALBOCICLIB,PALBOCICLIB,,,
PALIFERMIN,PALIFERMIN,,,
PALIPERIDONE,PALIPERIDONE,,,
PALIPERIDONE PALMITATE,PALIPERIDONE PALMITATE,,,
PALIVIZUMAB,PALIVIZUMAB,,,
PALONOSETRON HYDROCHLORIDE,PALONOSETRON HYDROCHLORIDE,,,
PALOPEGTERIPARATIDE,PALOPEGTERIPARATIDE,,,
PALOVAROTENE,PALOVAROTENE,,,
PALTUSOTINE HYDROCHLORIDE,PALTUSOTINE HYDROCHLORIDE,,,
PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,,,
PANCRELIPASE (AMYLASE,PANCRELIPASE AMYLASE,,,
PANCURONIUM BROMIDE,PANCURONIUM BROMIDE,,,
PANITUMUMAB,PANITUMUMAB,,,
PANOBINOSTAT LACTATE,PANOBINOSTAT LACTATE,,,
PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,,,
PANTOTHENIC ACID,PANTOTHENIC ACID,,,
PARAMETHADIONE,PARAMETHADIONE,,,
PARAMETHASONE ACETATE,PARAMETHASONE ACETATE,,,
PARATHYROID HORMONE,PARATHYROID HORMONE,,,
PARICALCITOL,PARICALCITOL,,,
PARITAPREVIR,PARITAPREVIR,,,
PAROMOMYCIN SULFATE,PAROMOMYCIN SULFATE,,,
PAROXETINE HYDROCHLORIDE,PAROXETINE HYDROCHLORIDE,,,
PAROXETINE MESYLATE,PAROXETINE MESYLATE,,,
PASIREOTIDE DIASPARTATE,PASIREOTIDE DIASPARTATE,,,
PASIREOTIDE PAMOATE,PASIREOTIDE PAMOATE,,,
PATIROMER SORBITEX CALCIUM,PATIROMER SORBITEX CALCIUM,,,
PATISIRAN SODIUM,PATISIRAN SODIUM,,,
PAZOPANIB HYDROCHLORIDE,PAZOPANIB HYDROCHLORIDE,,,
PEGADEMASE BOVINE,PEGADEMASE BOVINE,,,
PEGAPTANIB SODIUM,PEGAPTANIB SODIUM,,,
PEGASPARGASE,PEGASPARGASE,,,
PEGCETACOPLAN,PEGCETACOPLAN,,,
PEGFILGRASTIM,PEGFILGRASTIM,,,
PEGFILGRASTIM-APGF,PEGFILGRASTIM APGF,,,
PEGFILGRASTIM-BMEZ,PEGFILGRASTIM BMEZ,,,
PEGFILGRASTIM-CBQV,PEGFILGRASTIM CBQV,,,
PEGFILGRASTIM-FPGK,PEGFILGRASTIM FPGK,,,
PEGFILGRASTIM-JMDB,PEGFILGRASTIM JMDB,,,
PEGFILGRASTIM-PBBK,PEGFILGRASTIM PBBK,,,
PEGFILGRASTIM-UNNE,PEGFILGRASTIM UNNE,,,
PEGINESATIDE ACETATE,PEGINESATIDE ACETATE,,,
PEGINTERFERON ALFA-2A,PEGINTERFERON ALFA 2A,,,
PEGINTERFERON ALFA-2B,PEGINTERFERON ALFA 2B,,,
PEGINTERFERON BETA-1A,PEGINTERFERON BETA 1A,,,
PEGLOTICASE,PEGLOTICASE,,,
PEGULICIANINE ACETATE,PEGULICIANINE ACETATE,,,
PEGUNIGALSIDASE ALFA-IWXJ,PEGUNIGALSIDASE ALFA IWXJ,,,
PEGVALIASE-PQPZ,PEGVALIASE PQPZ,,,
PEGVISOMANT,PEGVISOMANT,,,
PEGZILARGINASE-NBLN,PEGZILARGINASE NBLN,,,
PEMBROLIZUMAB,PEMBROLIZUMAB,,,
PEMETREXED,PEMETREXED,,,
PEMETREXED DIPOTASSIUM,PEMETREXED DIPOTASSIUM,,,
PEMETREXED DISODIUM,PEMETREXED DISODIUM,,,
PEMETREXED DITROMETHAMINE,PEMETREXED DITROMETHAMINE,,,
PEMETREXED SODIUM,PEMETREXED SODIUM,,,
PEMIGATINIB,PEMIGATINIB,,,
PEMIROLAST POTASSIUM,PEMIROLAST POTASSIUM,,,
PEMOLINE,PEMOLINE,,,
PENBUTOLOL SULFATE,PENBUTOLOL SULFATE,,,
PENCICLOVIR,PENCICLOVIR,,,
PENICILLAMINE,PENICILLAMINE,,,
PENICILLIN G BENZATHINE,PENICILLIN G BENZATHINE,,,
PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM,,,
PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,,,
PENICILLIN G SODIUM,PENICILLIN G SODIUM,,,
PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM,,,
PENPULIMAB-KCQX,PENPULIMAB KCQX,,,
PENTAGASTRIN,PENTAGASTRIN,,,
PENTAMIDINE ISETHIONATE,PENTAMIDINE ISETHIONATE,,,
PENTAZOCINE HYDROCHLORIDE,PENTAZOCINE HYDROCHLORIDE,,,
PENTAZOCINE LACTATE,PENTAZOCINE LACTATE,,,
PENTETATE CALCIUM TRISODIUM,PENTETATE CALCIUM TRISODIUM,,,
PENTETATE CALCIUM TRISODIUM YB-169,PENTETATE CALCIUM TRISODIUM YB 169,,,
PENTETATE ZINC TRISODIUM,PENTETATE ZINC TRISODIUM,,,
PENTOBARBITAL,PENTOBARBITAL,,,
PENTOBARBITAL SODIUM,PENTOBARBITAL SODIUM,,,
PENTOSAN POLYSULFATE SODIUM,PENTOSAN POLYSULFATE SODIUM,,,
PENTOSTATIN,PENTOSTATIN,,,
PENTOXIFYLLINE,PENTOXIFYLLINE,,,
PERAMIVIR,PERAMIVIR,,,
PERAMPANEL,PERAMPANEL,,,
PERFLEXANE,PERFLEXANE,,,
PERFLUBRON,PERFLUBRON,,,
PERFLUOROHEXYLOCTANE,PERFLUOROHEXYLOCTANE,,,
PERFLUOROPOLYMETHYLISOPROPYL ETHER,PERFLUOROPOLYMETHYLISOPROPYL ETHER,,,
PERFLUTREN,PERFLUTREN,,,
PERGOLIDE MESYLATE,PERGOLIDE MESYLATE,,,
PERINDOPRIL ARGININE,PERINDOPRIL ARGININE,,,
PERINDOPRIL ERBUMINE,PERINDOPRIL ERBUMINE,,,
PERMETHRIN,PERMETHRIN,,,
PERPHENAZINE,PERPHENAZINE,,,
PERTUZUMAB,PERTUZUMAB,,,
"PERTUZUMAB, TRASTUZUMAB, AND HYALURONIDASE-ZZXF",PERTUZUMAB TRASTUZUMAB AND HYALURONIDASE ZZXF,,,
PERTUZUMAB-DPZB,PERTUZUMAB DPZB,,,
PEXIDARTINIB HYDROCHLORIDE,PEXIDARTINIB HYDROCHLORIDE,,,
PHENACEMIDE,PHENACEMIDE,,,
PHENAZOPYRIDINE HYDROCHLORIDE,PHENAZOPYRIDINE HYDROCHLORIDE,,,
PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,,,
PHENELZINE SULFATE,PHENELZINE SULFATE,,,
PHENIRAMINE MALEATE,PHENIRAMINE MALEATE,,,
PHENOBARBITAL SODIUM,PHENOBARBITAL SODIUM,,,
PHENOXYBENZAMINE HYDROCHLORIDE,PHENOXYBENZAMINE HYDROCHLORIDE,,,
PHENPROCOUMON,PHENPROCOUMON,,,
PHENSUXIMIDE,PHENSUXIMIDE,,,
PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,,,
PHENTERMINE RESIN COMPLEX,PHENTERMINE RESIN COMPLEX,,,
PHENTOLAMINE MESYLATE,PHENTOLAMINE MESYLATE,,,
PHENYLBUTAZONE,PHENYLBUTAZONE,,,
PHENYLEPHRINE BITARTRATE,PHENYLEPHRINE BITARTRATE,,,
PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,,,
PHENYLPROPANOLAMINE HYDROCHLORIDE,PHENYLPROPANOLAMINE HYDROCHLORIDE,,,
PHENYLPROPANOLAMINE POLISTIREX,PHENYLPROPANOLAMINE POLISTIREX,,,
PHENYTOIN,PHENYTOIN,,,
PHENYTOIN SODIUM,PHENYTOIN SODIUM,,,
PHOSPHORIC ACID,PHOSPHORIC ACID,,,
PHYTONADIONE,PHYTONADIONE,,,
PIBRENTASVIR,PIBRENTASVIR,,,
PIFLUFOLASTAT F-18,PIFLUFOLASTAT F 18,,,
PILOCARPINE,PILOCARPINE,,,
PILOCARPINE HYDROCHLORIDE,PILOCARPINE HYDROCHLORIDE,,,
PIMAVANSERIN,PIMAVANSERIN,,,
PIMAVANSERIN TARTRATE,PIMAVANSERIN TARTRATE,,,
PIMECROLIMUS,PIMECROLIMUS,,,
PIMOZIDE,PIMOZIDE,,,
PINACIDIL,PINACIDIL,,,
PINDOLOL,PINDOLOL,,,
PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,,,
PIPECURONIUM BROMIDE,PIPECURONIUM BROMIDE,,,
PIPERACETAZINE,PIPERACETAZINE,,,
PIPERACILLIN SODIUM,PIPERACILLIN SODIUM,,,
"PIPERACILLIN,TAZOBACTAM",PIPERACILLIN TAZOBACTAM,,,
PIPERAZINE CITRATE,PIPERAZINE CITRATE,,,
PIPERONYL BUTOXIDE,PIPERONYL BUTOXIDE,,,
PIPOBROMAN,PIPOBROMAN,,,
PIRBUTEROL ACETATE,PIRBUTEROL ACETATE,,,
PIRFENIDONE,PIRFENIDONE,,,
PIROXICAM,PIROXICAM,,,
PIRTOBRUTINIB,PIRTOBRUTINIB,,,
PITAVASTATIN CALCIUM,PITAVASTATIN CALCIUM,,,
PITAVASTATIN MAGNESIUM,PITAVASTATIN MAGNESIUM,,,
PITAVASTATIN SODIUM,PITAVASTATIN SODIUM,,,
PITOLISANT,PITOLISANT,,,
PITOLISANT HYDROCHLORIDE,PITOLISANT HYDROCHLORIDE,,,
PIVMECILLINAM HYDROCHLORIDE,PIVMECILLINAM HYDROCHLORIDE,,,
PLAZOMICIN SULFATE,PLAZOMICIN SULFATE,,,
PLECANATIDE,PLECANATIDE,,,
PLERIXAFOR,PLERIXAFOR,,,
PLICAMYCIN,PLICAMYCIN,,,
PLOZASIRAN SODIUM,PLOZASIRAN SODIUM,,,
PODOFILOX,PODOFILOX,,,
POLATUZUMAB VEDOTIN-PIIQ,POLATUZUMAB VEDOTIN PIIQ,,,
POLIDOCANOL,POLIDOCANOL,,,
POLYESTRADIOL PHOSPHATE,POLYESTRADIOL PHOSPHATE,,,
POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,,,
POLYMYXIN B SULFATE,POLYMYXIN B SULFATE,,,
POLYTETRAFLUOROETHYLENE,POLYTETRAFLUOROETHYLENE,,,
POLYTHIAZIDE,POLYTHIAZIDE,,,
POMALIDOMIDE,POMALIDOMIDE,,,
PONATINIB HYDROCHLORIDE,PONATINIB HYDROCHLORIDE,,,
PONESIMOD,PONESIMOD,,,
PORACTANT ALFA,PORACTANT ALFA,,,
PORCINE SECRETIN,PORCINE SECRETIN,,,
PORFIMER SODIUM,PORFIMER SODIUM,,,
POSACONAZOLE,POSACONAZOLE,,,
POTASSIUM ACETATE,POTASSIUM ACETATE,,,
POTASSIUM AMINOSALICYLATE,POTASSIUM AMINOSALICYLATE,,,
POTASSIUM BITARTRATE,POTASSIUM BITARTRATE,,,
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,,,
POTASSIUM CITRATE,POTASSIUM CITRATE,,,
POTASSIUM IODIDE,POTASSIUM IODIDE,,,
POTASSIUM LACTATE,POTASSIUM LACTATE,,,
POTASSIUM OXYBATE,POTASSIUM OXYBATE,,,
POTASSIUM PERCHLORATE,POTASSIUM PERCHLORATE,,,
"POTASSIUM PHOSPHATE, DIBASIC",POTASSIUM PHOSPHATE DIBASIC,,,
"POTASSIUM PHOSPHATE, MONOBASIC",POTASSIUM PHOSPHATE MONOBASIC,,,
POTASSIUM SULFATE,POTASSIUM SULFATE,,,
POVIDONE-IODINE,POVIDONE IODINE,,,
POZELIMAB-BBFG,POZELIMAB BBFG,,,
PRABOTULINUMTOXINA-XVFS,PRABOTULINUMTOXINA XVFS,,,
PRALATREXATE,PRALATREXATE,,,
PRALIDOXIME CHLORIDE,PRALIDOXIME CHLORIDE,,,
PRALSETINIB,PRALSETINIB,,,
PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,,,
PRAMLINTIDE ACETATE,PRAMLINTIDE ACETATE,,,
PRAMOXINE HYDROCHLORIDE,PRAMOXINE HYDROCHLORIDE,,,
PRASTERONE,PRASTERONE,,,
PRASUGREL HYDROCHLORIDE,PRASUGREL HYDROCHLORIDE,,,
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,,,
PRAZEPAM,PRAZEPAM,,,
PRAZIQUANTEL,PRAZIQUANTEL,,,
PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,,,
PREDNICARBATE,PREDNICARBATE,,,
PREDNISOLONE,PREDNISOLONE,,,
PREDNISOLONE ACETATE,PREDNISOLONE ACETATE,,,
PREDNISOLONE SODIUM PHOSPHATE,PREDNISOLONE SODIUM PHOSPHATE,,,
PREDNISOLONE TEBUTATE,PREDNISOLONE TEBUTATE,,,
PREDNISONE,PREDNISONE,,,
PREGABALIN,PREGABALIN,,,
PRETOMANID,PRETOMANID,,,
PRILOCAINE,PRILOCAINE,,,
PRILOCAINE HYDROCHLORIDE,PRILOCAINE HYDROCHLORIDE,,,
PRIMAQUINE PHOSPHATE,PRIMAQUINE PHOSPHATE,,,
PRIMIDONE,PRIMIDONE,,,
PROBENECID,PROBENECID,,,
PROBUCOL,PROBUCOL,,,
PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,,,
PROCAINE HYDROCHLORIDE,PROCAINE HYDROCHLORIDE,,,
PROCARBAZINE HYDROCHLORIDE,PROCARBAZINE HYDROCHLORIDE,,,
PROCHLORPERAZINE,PROCHLORPERAZINE,,,
PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,,,
PROCHLORPERAZINE MALEATE,PROCHLORPERAZINE MALEATE,,,
PROCYCLIDINE HYDROCHLORIDE,PROCYCLIDINE HYDROCHLORIDE,,,
PROGESTERONE,PROGESTERONE,,,
PROGUANIL HYDROCHLORIDE,PROGUANIL HYDROCHLORIDE,,,
PROMAZINE HYDROCHLORIDE,PROMAZINE HYDROCHLORIDE,,,
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,,,
PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,,,
PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,,,
PROPARACAINE HYDROCHLORIDE,PROPARACAINE HYDROCHLORIDE,,,
PROPIOLACTONE,PROPIOLACTONE,,,
PROPIOMAZINE HYDROCHLORIDE,PROPIOMAZINE HYDROCHLORIDE,,,
PROPOFOL,PROPOFOL,,,
PROPOXYCAINE HYDROCHLORIDE,PROPOXYCAINE HYDROCHLORIDE,,,
PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE HYDROCHLORIDE,,,
PROPOXYPHENE NAPSYLATE,PROPOXYPHENE NAPSYLATE,,,
PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,,,
PROPYLTHIOURACIL,PROPYLTHIOURACIL,,,
PROTAMINE SULFATE,PROTAMINE SULFATE,,,
PROTEASE),PROTEASE,,,
PROTEIN HYDROLYSATE,PROTEIN HYDROLYSATE,,,
PROTIRELIN,PROTIRELIN,,,
PROTRIPTYLINE HYDROCHLORIDE,PROTRIPTYLINE HYDROCHLORIDE,,,
PRUCALOPRIDE SUCCINATE,PRUCALOPRIDE SUCCINATE,,,
PSEUDOEPHEDRINE HYDROCHLORIDE,PSEUDOEPHEDRINE HYDROCHLORIDE,,,
PSEUDOEPHEDRINE POLISTIREX,PSEUDOEPHEDRINE POLISTIREX,,,
PSEUDOEPHEDRINE SULFATE,PSEUDOEPHEDRINE SULFATE,,,
PURIFIED WATER,PURIFIED WATER,,,
PYRAZINAMIDE,PYRAZINAMIDE,,,
PYRETHRINS,PYRETHRINS,,,
PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,,,
PYRIDOXINE,PYRIDOXINE,,,
PYRIDOXINE HYDROCHLORIDE,PYRIDOXINE HYDROCHLORIDE,,,
PYRILAMINE MALEATE,PYRILAMINE MALEATE,,,
PYRIMETHAMINE,PYRIMETHAMINE,,,
QUAZEPAM,QUAZEPAM,,,
QUETIAPINE FUMARATE,QUETIAPINE FUMARATE,,,
QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,,,
QUINESTROL,QUINESTROL,,,
QUINETHAZONE,QUINETHAZONE,,,
QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,,,
QUINIDINE SULFATE,QUINIDINE SULFATE,,,
QUININE SULFATE,QUININE SULFATE,,,
QUINUPRISTIN,QUINUPRISTIN,,,
QUIZARTINIB DIHYDROCHLORIDE,QUIZARTINIB DIHYDROCHLORIDE,,,
RABEPRAZOLE SODIUM,RABEPRAZOLE SODIUM,,,
RADIUM RA-223 DICHLORIDE,RADIUM RA 223 DICHLORIDE,,,
RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,,,
RALTEGRAVIR POTASSIUM,RALTEGRAVIR POTASSIUM,,,
RAMELTEON,RAMELTEON,,,
RAMIPRIL,RAMIPRIL,,,
RAMUCIRUMAB,RAMUCIRUMAB,,,
RANIBIZUMAB,RANIBIZUMAB,,,
RANIBIZUMAB-EQRN,RANIBIZUMAB EQRN,,,
RANIBIZUMAB-LEYK,RANIBIZUMAB LEYK,,,
RANIBIZUMAB-NUNA,RANIBIZUMAB NUNA,,,
RANITIDINE,RANITIDINE,,,
RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,,,
RANOLAZINE,RANOLAZINE,,,
RAPACURONIUM BROMIDE,RAPACURONIUM BROMIDE,,,
RASAGILINE MESYLATE,RASAGILINE MESYLATE,,,
RASBURICASE,RASBURICASE,,,
RAUWOLFIA SERPENTINA ROOT,RAUWOLFIA SERPENTINA ROOT,,,
RAVULIZUMAB-CWVZ,RAVULIZUMAB CWVZ,,,
RAXIBACUMAB,RAXIBACUMAB,,,
REGADENOSON,REGADENOSON,,,
REGORAFENIB,REGORAFENIB,,,
RELATLIMAB-RMBW,RELATLIMAB RMBW,,,
RELEBACTAM,RELEBACTAM,,,
RELUGOLIX,RELUGOLIX,,,
REMDESIVIR,REMDESIVIR,,,
REMIBRUTINIB,REMIBRUTINIB,,,
REMIFENTANIL HYDROCHLORIDE,REMIFENTANIL HYDROCHLORIDE,,,
REMIMAZOLAM BESYLATE,REMIMAZOLAM BESYLATE,,,
REPAGLINIDE,REPAGLINIDE,,,
REPOSITORY CORTICOTROPIN,REPOSITORY CORTICOTROPIN,,,
REPOTRECTINIB,REPOTRECTINIB,,,
RESCINNAMINE,RESCINNAMINE,,,
RESERPINE,RESERPINE,,,
RESLIZUMAB,RESLIZUMAB,,,
RESMETIROM,RESMETIROM,,,
RETAPAMULIN,RETAPAMULIN,,,
RETEPLASE,RETEPLASE,,,
RETIFANLIMAB-DLWR,RETIFANLIMAB DLWR,,,
REVEFENACIN,REVEFENACIN,,,
REVUMENIB CITRATE,REVUMENIB CITRATE,,,
REZAFUNGIN ACETATE,REZAFUNGIN ACETATE,,,
RIBAVIRIN,RIBAVIRIN,,,
RIBOCICLIB,RIBOCICLIB,,,
RIBOCICLIB SUCCINATE,RIBOCICLIB SUCCINATE,,,
RIBOFLAVIN,RIBOFLAVIN,,,
RIBOFLAVIN 5'-PHOSPHATE,RIBOFLAVIN 5 PHOSPHATE,,,
RIBOFLAVIN 5'-PHOSPHATE SODIUM,RIBOFLAVIN 5 PHOSPHATE SODIUM,,,
RIFABUTIN,RIFABUTIN,,,
RIFAMPIN,RIFAMPIN,,,
RIFAMYCIN SODIUM,RIFAMYCIN SODIUM,,,
RIFAPENTINE,RIFAPENTINE,,,
RIFAXIMIN,RIFAXIMIN,,,
RILONACEPT,RILONACEPT,,,
RILPIVIRINE,RILPIVIRINE,,,
RILPIVIRINE HYDROCHLORIDE,RILPIVIRINE HYDROCHLORIDE,,,
