ApplNo,SubmissionType,SubmissionNo,SubmissionStatus,SubmissionStatusDate,approval_year,ReviewPriority_raw,ReviewPriority,ApplType_raw,ApplType,SponsorName,DrugName,ActiveIngredient,n_products,ProductNo_list,SubmissionClassCodeID,SubmissionClassCode,SubmissionClassCodeDescription
062175,ORIG,1,AP,1978-08-29,1978,,UNKNOWN,ANDA,ANDA,WARNER CHILCOTT,CYCLOPAR,TETRACYCLINE HYDROCHLORIDE,1.0,001,,,
062176,ORIG,1,AP,1980-02-11,1980,,UNKNOWN,ANDA,ANDA,WATSON LABS,NYSTATIN,NYSTATIN,1.0,001,,,
062178,ORIG,1,AP,1980-03-13,1980,,UNKNOWN,ANDA,ANDA,WYETH AYERST,GRISACTIN ULTRA,"GRISEOFULVIN, ULTRAMICROCRYSTALLINE",2.0,001; 002,,,
062196,ORIG,1,AP,1980-07-02,1980,,UNKNOWN,ANDA,ANDA,SANDOZ,GENTAMICIN SULFATE,GENTAMICIN SULFATE,1.0,001,,,
062200,ORIG,1,AP,1981-08-11,1981,,UNKNOWN,ANDA,ANDA,ALPHARMA US PHARMS,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,2.0,001; 002,,,
062205,ORIG,1,AP,1979-07-28,1979,,UNKNOWN,ANDA,ANDA,CEPH INTL,CEFACLOR,CEFACLOR,2.0,001; 002,,,
062206,ORIG,1,AP,1979-04-23,1979,,UNKNOWN,ANDA,ANDA,FACTA FARMA,CEFACLOR,CEFACLOR,4.0,001; 002; 003; 004,,,
062212,ORIG,1,AP,1979-08-02,1979,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,TOTACILLIN,AMPICILLIN/AMPICILLIN TRIHYDRATE,2.0,001; 002,,,
062215,ORIG,1,AP,1979-06-04,1979,,UNKNOWN,,UNKNOWN,,,,,,,,
062216,ORIG,1,AP,1979-08-02,1979,,UNKNOWN,ANDA,ANDA,US ANTIBIOTICS,AMOXIL,AMOXICILLIN,2.0,001; 004,,,
062222,ORIG,1,AP,1980-03-10,1980,,UNKNOWN,ANDA,ANDA,ANI PHARMS,OXACILLIN SODIUM,OXACILLIN SODIUM,2.0,001; 002,,,
062223,ORIG,1,AP,1979-08-27,1979,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,TOTACILLIN,AMPICILLIN/AMPICILLIN TRIHYDRATE,2.0,001; 002,,,
062224,ORIG,1,AP,1994-09-08,1994,,UNKNOWN,,UNKNOWN,,,,,,,,
062225,ORIG,1,AP,1979-12-11,1979,,UNKNOWN,ANDA,ANDA,PADAGIS US,NYSTATIN,NYSTATIN,1.0,001,,,
062226,ORIG,1,AP,1979-11-27,1979,,UNKNOWN,ANDA,ANDA,US ANTIBIOTICS,AMOXIL; LAROTID,AMOXICILLIN,5.0,001; 002; 003; 004; 005,,,
062236,ORIG,1,AP,1981-06-04,1981,,UNKNOWN,,UNKNOWN,,,,,,,,
062238,ORIG,1,AP,1979-12-31,1979,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,DYCILL,DICLOXACILLIN SODIUM,2.0,001; 002,,,
062240,ORIG,1,AP,1980-06-05,1980,,UNKNOWN,ANDA,ANDA,TEVA,CLOXACILLIN SODIUM,CLOXACILLIN SODIUM,2.0,001; 002,,,
062247,ORIG,1,AP,1980-04-28,1980,,UNKNOWN,ANDA,ANDA,IVAX SUB TEVA PHARMS,CHLORAMPHENICOL,CHLORAMPHENICOL,1.0,001,,,
062248,ORIG,1,AP,1980-05-02,1980,,UNKNOWN,ANDA,ANDA,PHARMACIA AND UPJOHN,U-GENCIN,GENTAMICIN SULFATE,2.0,001; 002,,,
062251,ORIG,1,AP,1980-06-05,1980,,UNKNOWN,ANDA,ANDA,HIKMA,GENTAMICIN SULFATE,GENTAMICIN SULFATE,2.0,001; 002,,,
062252,ORIG,1,AP,1980-05-15,1980,,UNKNOWN,ANDA,ANDA,TEVA,OXACILLIN SODIUM,OXACILLIN SODIUM,1.0,001,,,
062256,ORIG,1,AP,1980-04-28,1980,,UNKNOWN,ANDA,ANDA,BARR,ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,1.0,001,,,
062259,ORIG,1,AP,1980-05-13,1980,,UNKNOWN,,UNKNOWN,,,,,,,,
062268,ORIG,1,AP,1980-09-15,1980,,UNKNOWN,ANDA,ANDA,TEVA,CLOXACILLIN SODIUM,CLOXACILLIN SODIUM,1.0,001,,,
062269,ORIG,1,AP,1982-11-08,1982,,UNKNOWN,ANDA,ANDA,EPIC PHARMA LLC,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,2.0,002; 003,,,
062270,ORIG,1,AP,1980-08-15,1980,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,BEEPEN-VK,PENICILLIN V POTASSIUM,2.0,001; 002,,,
062273,ORIG,1,AP,1980-08-12,1980,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,BEEPEN-VK,PENICILLIN V POTASSIUM,2.0,001; 002,,,
062279,ORIG,1,AP,1980-06-02,1980,,UNKNOWN,ANDA,ANDA,VALEANT LUXEMBOURG,GRIFULVIN V,"GRISEOFULVIN, MICROCRYSTALLINE; GRISEOFULVIN, MICROSIZE",3.0,001; 002; 003,,,
062286,ORIG,1,AP,1982-06-03,1982,,UNKNOWN,ANDA,ANDA,TEVA,DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,2.0,001; 002,,,
062290,ORIG,1,AP,1980-10-08,1980,,UNKNOWN,ANDA,ANDA,ARBOR PHARMS INC,ERYDERM,ERYTHROMYCIN,1.0,001,,,
062291,ORIG,1,AP,1980-07-30,1980,,UNKNOWN,ANDA,ANDA,SANDOZ,CEFADROXIL,CEFADROXIL/CEFADROXIL HEMIHYDRATE,1.0,001,,,
062292,ORIG,1,AP,1981-12-28,1981,,UNKNOWN,,UNKNOWN,,,,,,,,
062298,ORIG,1,AP,1982-03-29,1982,,UNKNOWN,ANDA,ANDA,CARNEGIE,ERY-TAB,ERYTHROMYCIN,3.0,001; 002; 003,,,
062301,ORIG,1,AP,1980-11-21,1980,,UNKNOWN,,UNKNOWN,,,,,,,,
062302,ORIG,1,AP,1981-12-01,1981,,UNKNOWN,ANDA,ANDA,SCHERING,OTOBIOTIC,HYDROCORTISONE; POLYMYXIN B SULFATE,1.0,001,,,
062303,ORIG,1,AP,1981-07-15,1981,UNKNOWN,UNKNOWN,,UNKNOWN,,,,,,19,UNKNOWN,
062304,ORIG,1,AP,1980-12-18,1980,,UNKNOWN,ANDA,ANDA,ARBOR PHARMS LLC,PEDIAMYCIN; PEDIAMYCIN 400,ERYTHROMYCIN ETHYLSUCCINATE,2.0,001; 002,,,
062307,ORIG,1,AP,1981-05-15,1981,,UNKNOWN,ANDA,ANDA,PADAGIS US,GENTAMICIN SULFATE,GENTAMICIN SULFATE,1.0,001,,,
062310,ORIG,1,AP,1981-01-05,1981,,UNKNOWN,ANDA,ANDA,KING PFIZER,HUMATIN,PAROMOMYCIN SULFATE,1.0,001,,,
062311,ORIG,1,AP,1981-01-22,1981,,UNKNOWN,ANDA,ANDA,APOTHECON,AMIKIN,AMIKACIN SULFATE,2.0,001; 002,,,
062318,ORIG,1,AP,1981-08-20,1981,,UNKNOWN,ANDA,ANDA,WATSON LABS,GENTAMICIN SULFATE,GENTAMICIN SULFATE,2.0,001; 002,,,
062321,ORIG,1,AP,1981-06-02,1981,,UNKNOWN,ANDA,ANDA,GLAXOSMITHKLINE,BACTOCILL,OXACILLIN SODIUM,1.0,001,,,
062323,ORIG,1,AP,1981-12-08,1981,,UNKNOWN,ANDA,ANDA,APOTHECON,POLYMOX,AMOXICILLIN,2.0,001; 002,,,
062324,ORIG,1,AP,1981-11-05,1981,,UNKNOWN,ANDA,ANDA,HIKMA,KANAMYCIN,KANAMYCIN SULFATE,3.0,001; 002; 003,,,
062326,ORIG,1,AP,1982-04-19,1982,,UNKNOWN,ANDA,ANDA,ALPHARMA US PHARMS,ERYTHROMYCIN,ERYTHROMYCIN,1.0,001,,,
062328,ORIG,1,AP,1982-04-19,1982,,UNKNOWN,ANDA,ANDA,ALPHARMA US PHARMS,ERYTHROMYCIN,ERYTHROMYCIN,1.0,001,,,
062336,ORIG,1,AP,1981-08-24,1981,,UNKNOWN,ANDA,ANDA,BRISTOL MYERS,MUTAMYCIN,MITOMYCIN,3.0,001; 002; 003,,,
062337,ORIG,1,AP,1982-03-29,1982,,UNKNOWN,ANDA,ANDA,STRIDES PHARMA,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,2.0,001; 002,,,
062338,ORIG,1,AP,1981-05-22,1981,,UNKNOWN,ANDA,ANDA,WARNER CHILCOTT LLC,ERYC,ERYTHROMYCIN,1.0,001,,,
062339,ORIG,1,AP,1984-11-30,1984,,UNKNOWN,ANDA,ANDA,ALCON,STATROL,NEOMYCIN SULFATE; POLYMYXIN B SULFATE,1.0,001,,,
062340,ORIG,1,AP,1983-03-28,1983,,UNKNOWN,ANDA,ANDA,PHARM SPEC,GENTAMICIN SULFATE,GENTAMICIN SULFATE,1.0,001,,,
062341,ORIG,1,AP,1984-05-22,1984,,UNKNOWN,ANDA,ANDA,SANDOZ,MAXITROL,DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,1.0,001,,,
062343,ORIG,1,AP,1981-10-02,1981,,UNKNOWN,ANDA,ANDA,WATSON LABS,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,2.0,001; 002,,,
062345,ORIG,1,AP,1981-07-17,1981,,UNKNOWN,,UNKNOWN,,,,,,,,
062346,ORIG,1,AP,1981-07-17,1981,,UNKNOWN,,UNKNOWN,,,,,,,,
062347,ORIG,1,AP,1987-03-30,1987,,UNKNOWN,ANDA,ANDA,SUN PHARMA CANADA,NYSTATIN AND TRIAMCINOLONE ACETONIDE,NYSTATIN; TRIAMCINOLONE ACETONIDE,1.0,001,,,
062349,ORIG,1,AP,1982-07-14,1982,,UNKNOWN,ANDA,ANDA,G AND W LABS INC,NYSTATIN,NYSTATIN,1.0,001,,,
062351,ORIG,1,AP,1982-02-18,1982,,UNKNOWN,ANDA,ANDA,PADAGIS US,GENTAMICIN SULFATE,GENTAMICIN SULFATE,1.0,001,,,
062353,ORIG,1,AP,1982-11-18,1982,,UNKNOWN,ANDA,ANDA,ALPHARMA US PHARMS,ERYTHROMYCIN ESTOLATE,ERYTHROMYCIN ESTOLATE,1.0,001,,,
062354,ORIG,1,AP,1982-04-05,1982,,UNKNOWN,ANDA,ANDA,KALAPHARM,GENTAMICIN SULFATE,GENTAMICIN SULFATE,1.0,001,,,
062355,ORIG,1,AP,1981-10-15,1981,,UNKNOWN,,UNKNOWN,,,,,,,,
